stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,symbol,stock_name,area,industry,list_date
000001.SZ,20190318,1353.62843,1397.92114,1330.9419200000002,1394.68021,12.5,0.41,3.28,1486454.8,1882483.633,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190319,1395.76052,1397.92114,1362.27091,1381.71649,12.91,-0.12,-0.9295,957196.46,1221118.294,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190320,1369.83308,1391.43928,1363.35122,1377.39525,12.79,-0.04,-0.3127,929996.38,1185477.058,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190321,1379.5558700000001,1382.7968,1359.02998,1370.91339,12.75,-0.06,-0.4706,860140.8,1092506.482,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190322,1370.91339,1376.3149400000002,1350.3875,1360.11029,12.69,-0.1,-0.788,713502.06,898629.416,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190325,1339.5844000000002,1339.5844000000002,1307.1751,1308.25541,12.59,-0.48,-3.8125,1179883.26,1445560.16,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190326,1321.2191300000002,1327.70099,1297.4523100000001,1307.1751,12.11,-0.01,-0.0826,935393.27,1136721.266,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190327,1322.29944,1347.14657,1315.8175800000001,1337.42378,12.1,0.28,2.314,922826.8,1138302.657,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190328,1329.8616100000002,1329.8616100000002,1307.1751,1320.1388200000001,12.38,-0.16,-1.2924,732467.44,892530.627,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190329,1324.46006,1384.9574200000002,1319.05851,1384.9574200000002,12.22,0.6,4.91,1669506.47,2108295.393,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190401,1386.03773,1463.8200500000003,1386.03773,1423.84858,12.82,0.36,2.8081,1951401.19,2588268.668,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190402,1434.65168,1456.2578800000001,1429.2501300000001,1443.29416,13.18,0.18,1.3657,1100384.04,1466040.987,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190403,1427.0895100000002,1453.01695,1420.6076500000001,1451.9366400000001,13.36,0.08,0.5988,792915.79,1056166.231,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190404,1450.85633,1512.4340000000002,1450.85633,1497.3096600000001,13.44,0.42,3.125,2034365.0,2796366.353,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190408,1501.6309,1558.88733,1482.18532,1508.1127600000002,13.86,0.1,0.7215,1743176.2,2464536.241,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190409,1498.38997,1510.27338,1485.42625,1491.90811,13.96,-0.15,-1.0745,781332.38,1080549.202,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190410,1485.42625,1499.4702800000002,1447.6154000000001,1483.26563,13.81,-0.08,-0.5793,947135.06,1289475.602,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190411,1483.26563,1508.1127600000002,1457.3381900000002,1462.73974,13.73,-0.19,-1.3838,655356.62,897382.236,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190412,1457.3381900000002,1468.14129,1427.0895100000002,1449.77602,13.54,-0.12,-0.8863,774324.64,1035139.673,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190415,1482.18532,1522.15679,1475.7034600000002,1478.94439,13.42,0.27,2.0119,1533890.68,2134708.981,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190416,1476.78377,1575.0919800000001,1463.8200500000003,1575.0919800000001,13.69,0.89,6.5011,2379375.18,3379550.307,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190417,1557.80702,1576.17229,1537.28113,1550.24485,14.58,-0.23,-1.5775,1004109.87,1443493.493,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190418,1544.8433000000002,1552.40547,1524.31741,1549.16454,14.35,-0.01,-0.0697,507045.3,721908.8,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190419,1561.04795,1598.8588000000002,1544.8433000000002,1591.29663,14.34,0.39,2.7197,1246036.09,1814875.936,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190422,1577.2526,1603.18004,1521.0764800000002,1528.63865,14.73,-0.58,-3.9375,1322273.9,1899850.004,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190423,1523.2371,1534.0402,1509.1930700000003,1519.9961700000001,14.15,-0.08,-0.5654,940687.34,1326465.625,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190424,1561.04795,1577.2526,1529.7189600000002,1559.96764,14.07,0.37,2.6297,1949723.63,2811131.027,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190425,1553.4857800000002,1581.5738400000002,1526.4780300000002,1526.4780300000002,14.44,-0.31,-2.1468,1111476.37,1597895.217,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190426,1521.0764800000002,1539.4417500000002,1480.0247,1489.74749,14.13,-0.34,-2.4062,1009421.24,1407987.365,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190429,1501.6309,1548.0842300000002,1497.3096600000001,1523.2371,13.79,0.31,2.248,1030695.75,1450714.134,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190430,1511.3536900000001,1517.8355500000002,1468.14129,1496.22935,14.1,-0.25,-1.773,1116570.27,1542958.577,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190506,1415.2061,1442.21385,1373.0740100000003,1390.35897,13.85,-0.98,-7.0758,2108667.84,2742409.411,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190507,1407.64393,1414.12579,1374.15432,1399.00145,12.87,0.08,0.6216,1072658.41,1386247.078,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190508,1374.15432,1394.68021,1350.3875,1361.1906000000001,12.95,-0.35,-2.7027,975450.81,1236655.982,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190509,1352.54812,1359.02998,1301.7735500000001,1313.65696,12.6,-0.44,-3.4921,1557151.61,1904905.488,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190510,1333.10254,1377.39525,1307.1751,1369.83308,12.16,0.52,4.2763,1192399.08,1489975.624,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190513,1332.02223,1354.70874,1321.2191300000002,1328.7813,12.68,-0.38,-2.9968,741917.79,916213.719,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190514,1317.9782,1377.39525,1313.65696,1349.30719,12.3,0.19,1.5447,1182598.19,1477008.362,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190515,1359.02998,1416.28641,1357.9496700000002,1395.76052,12.49,0.43,3.4428,1103988.51,1417050.112,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190516,1396.84083,1403.3226900000002,1380.63618,1388.1983500000001,12.92,-0.07,-0.5418,634901.43,816740.932,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190517,1395.76052,1396.84083,1335.26316,1343.90564,12.85,-0.41,-3.1907,965000.85,1208569.909,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190520,1334.1828500000001,1354.70874,1323.37975,1337.42378,12.44,-0.06,-0.4823,786435.18,971222.474,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190521,1339.5844000000002,1375.2346300000002,1335.26316,1356.8693600000001,12.38,0.18,1.454,731210.51,919191.24,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190522,1357.9496700000002,1357.9496700000002,1330.9419200000002,1339.5844000000002,12.56,-0.16,-1.2739,506230.72,628437.47,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190523,1322.29944,1341.74502,1311.4963400000001,1327.70099,12.4,-0.11,-0.8871,666855.43,817850.53,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190524,1334.1828500000001,1344.98595,1329.8616100000002,1334.1828500000001,12.29,0.06,0.4882,495526.2,613106.248,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190527,1319.05851,1341.74502,1288.8098300000001,1336.34347,12.35,0.02,0.1619,1048425.98,1275632.724,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190528,1329.8616100000002,1355.78905,1324.46006,1349.30719,12.37,0.12,0.9701,880703.12,1094063.186,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190529,1335.26316,1360.11029,1324.46006,1339.5844000000002,12.49,-0.09,-0.7206,666411.5,827828.661,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190530,1330.9419200000002,1337.42378,1308.25541,1320.1388200000001,12.4,-0.18,-1.4516,646284.65,787801.007,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190531,1313.65696,1339.5844000000002,1308.25541,1315.8175800000001,12.22,-0.04,-0.3273,686794.39,839375.709,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190603,1320.1388200000001,1332.02223,1276.92642,1285.5689000000002,12.18,-0.28,-2.2989,1512719.05,1816591.876,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190604,1284.4885900000002,1289.89014,1253.1596,1280.16735,11.9,-0.05,-0.4202,974655.34,1147709.578,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190605,1293.1310700000001,1311.4963400000001,1287.72952,1293.1310700000001,11.85,0.12,1.0127,748892.31,899331.716,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190606,1293.1310700000001,1303.93417,1284.4885900000002,1287.72952,11.97,-0.05,-0.4177,433665.26,519425.127,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190610,1297.4523100000001,1347.14657,1294.2113800000002,1333.10254,11.92,0.42,3.5235,1144668.82,1404223.62,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190611,1333.10254,1374.15432,1328.7813,1366.5921500000002,12.34,0.31,2.5122,1251087.51,1574105.212,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190612,1364.43153,1367.67246,1343.90564,1357.9496700000002,12.65,-0.08,-0.6324,657310.18,825178.004,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190613,1354.70874,1369.83308,1342.8253300000001,1360.11029,12.57,0.02,0.1591,530000.26,666277.695,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190614,1360.11029,1370.91339,1344.98595,1349.30719,12.59,-0.1,-0.7943,483191.73,606815.214,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190617,1348.2268800000002,1381.71649,1348.2268800000002,1368.75277,12.49,0.18,1.4412,619815.88,786223.58,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190618,1368.75277,1388.1983500000001,1360.11029,1382.7968,12.67,0.13,1.026,483555.12,616237.571,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190619,1435.73199,1446.53509,1405.48331,1411.9651700000002,12.8,0.27,2.1094,1143226.39,1504997.837,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190620,1422.76827,1507.03245,1417.36672,1490.8278000000003,13.07,0.73,5.5853,1529191.47,2083209.238,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190621,1486.50656,1498.38997,1467.0609800000002,1473.54284,13.8,-0.16,-1.1594,1011129.15,1384099.587,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190624,1478.94439,1494.0687300000002,1470.30191,1478.94439,13.64,0.05,0.3666,659572.85,904433.349,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190625,1482.18532,1482.18532,1411.9651700000002,1450.85633,13.69,-0.26,-1.8992,1469227.07,1954855.785,108.031,1,平安银行,深圳,银行,19910403
000001.SZ,20190626,1448.6726299999998,1473.7815,1439.9391099999998,1459.58953,13.29,0.08,0.602,546504.76,731207.282,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190627,1473.7815,1511.99065,1468.32305,1496.7069900000001,13.37,0.34,2.543,925074.94,1270042.461,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190628,1498.89037,1505.44051,1482.51502,1504.34882,13.71,0.07,0.5106,498093.69,682679.97,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190701,1529.45769,1548.01642,1514.17403,1520.72417,13.78,0.15,1.0885,960636.0,1347792.874,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190702,1515.26572,1554.56656,1513.08234,1548.01642,13.93,0.25,1.7947,1052744.86,1481211.353,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190703,1548.01642,1551.29149,1514.17403,1529.45769,14.18,-0.17,-1.1989,769078.49,1076744.4,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190704,1529.45769,1558.9333199999999,1515.26572,1527.27431,14.01,-0.02,-0.1428,621292.52,873624.287,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190705,1522.90755,1526.18262,1494.52361,1519.63248,13.99,-0.07,-0.5004,749196.09,1037357.175,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190708,1508.71558,1515.26572,1468.32305,1483.60671,13.92,-0.33,-2.3707,778413.9,1061095.712,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190709,1487.9734700000001,1496.7069900000001,1467.23136,1483.60671,13.59,0.0,0.0,494296.11,670391.72,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190710,1485.79009,1495.6153,1472.68981,1480.33164,13.59,-0.03,-0.2208,358220.79,487071.876,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190711,1493.43192,1504.34882,1477.05657,1478.14826,13.56,-0.02,-0.1475,484183.14,660588.299,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190712,1484.6984,1553.47487,1482.51502,1541.4662799999999,13.54,0.58,4.2836,1465366.52,2055749.881,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190715,1531.64107,1541.4662799999999,1510.89896,1528.366,14.12,-0.12,-0.8499,841282.76,1175798.104,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190716,1525.09093,1527.27431,1496.7069900000001,1501.07375,14.0,-0.25,-1.7857,722780.79,998151.578,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190717,1495.6153,1507.62389,1485.79009,1494.52361,13.75,-0.06,-0.4364,410020.63,561944.451,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190718,1490.15685,1507.62389,1480.33164,1492.34023,13.69,-0.02,-0.1461,422826.22,578067.487,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190719,1499.98206,1537.09952,1493.43192,1527.27431,13.67,0.32,2.3409,866390.7,1207316.526,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190722,1523.99924,1530.54938,1502.16544,1511.99065,13.99,-0.14,-1.0007,582283.3,807249.426,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190723,1513.08234,1514.17403,1490.15685,1502.16544,13.85,-0.09,-0.6498,504004.23,692328.447,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190724,1514.17403,1529.45769,1505.44051,1515.26572,13.76,0.12,0.8721,570276.22,793387.782,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190725,1519.63248,1557.84163,1511.99065,1550.1997999999999,13.88,0.32,2.3055,1087826.41,1534889.645,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190726,1548.01642,1555.65825,1537.09952,1553.47487,14.2,0.03,0.2113,635305.71,901074.107,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190729,1555.65825,1577.4920499999998,1548.01642,1560.0250099999998,14.23,0.06,0.4216,715576.19,1023261.763,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190730,1562.20839,1588.40895,1560.0250099999998,1568.7585299999998,14.29,0.08,0.5598,796634.32,1148582.412,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190731,1561.1167,1563.30008,1537.09952,1542.55797,14.37,-0.24,-1.6701,634723.48,899227.865,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190801,1534.91614,1549.10811,1521.81586,1539.2829,14.13,-0.03,-0.2123,527981.28,742308.285,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190802,1503.25713,1515.26572,1491.24854,1499.98206,14.1,-0.36,-2.5532,969926.46,1333400.773,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190805,1484.6984,1489.06516,1448.6726299999998,1457.40615,13.74,-0.39,-2.8384,893082.42,1201885.399,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190806,1430.1138999999998,1469.4147400000002,1422.4720699999998,1459.58953,13.35,0.02,0.1498,882499.13,1166971.469,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190807,1472.68981,1489.06516,1459.58953,1478.14826,13.37,0.17,1.2715,793038.99,1070736.943,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190808,1517.4491,1582.9505,1511.99065,1569.85022,13.54,0.84,6.2038,2330715.04,3313302.1,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190809,1588.40895,1621.1596499999998,1575.30867,1585.1338799999999,14.38,0.14,0.9736,2060575.13,3021884.306,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190812,1594.9590899999998,1650.63528,1593.8673999999999,1650.63528,14.52,0.6,4.1322,2733425.47,4084497.902,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190813,1637.5349999999999,1646.2685199999999,1609.15106,1625.52641,15.12,-0.23,-1.5212,1293736.44,1925835.288,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190814,1652.81866,1661.5521800000001,1615.7012,1634.25993,14.89,0.08,0.5373,1360546.54,2038261.151,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190815,1598.23416,1633.16824,1593.8673999999999,1630.9848599999998,14.97,-0.03,-0.2004,897376.26,1333117.725,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190816,1647.3602099999998,1652.81866,1613.5178199999998,1626.6181,14.94,-0.04,-0.2677,986902.93,1474900.257,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190819,1627.7097899999999,1630.9848599999998,1585.1338799999999,1628.8014799999999,14.9,0.02,0.1342,2292956.13,3368207.935,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190820,1628.8014799999999,1659.3688,1612.4261299999998,1636.4433099999999,14.92,0.07,0.4692,1921041.5,2872304.2,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190821,1623.3430299999998,1625.52641,1569.85022,1577.4920499999998,14.99,-0.54,-3.6024,1990131.95,2902251.1,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190822,1572.0336,1577.4920499999998,1550.1997999999999,1562.20839,14.45,-0.14,-0.9689,1353071.58,1935208.499,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190823,1568.7585299999998,1609.15106,1566.57515,1599.32585,14.31,0.34,2.376,1636867.68,2388239.081,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190826,1574.21698,1582.9505,1544.74135,1555.65825,14.65,-0.4,-2.7304,1415122.54,2018498.039,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190827,1567.6668399999999,1580.76712,1554.56656,1562.20839,14.25,0.06,0.4211,1356713.37,1948127.123,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190828,1556.74994,1558.9333199999999,1533.82445,1557.84163,14.31,-0.04,-0.2795,829657.68,1176329.095,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190829,1552.38318,1554.56656,1537.09952,1542.55797,14.27,-0.14,-0.9811,609034.34,861177.482,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190830,1560.0250099999998,1570.94191,1539.2829,1545.83304,14.13,0.03,0.2123,798500.57,1136119.659,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190902,1544.74135,1582.9505,1540.37459,1577.4920499999998,14.16,0.29,2.048,1360201.3,1955673.136,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190903,1580.76712,1584.04219,1555.65825,1561.1167,14.45,-0.15,-1.0381,858653.65,1230606.485,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190904,1563.30008,1582.9505,1562.20839,1576.4003599999999,14.3,0.14,0.979,973964.87,1404037.295,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190905,1589.50064,1621.1596499999998,1588.40895,1591.68402,14.44,0.14,0.9695,1768051.43,2599478.258,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190906,1605.87599,1616.79289,1596.0507799999998,1616.79289,14.58,0.23,1.5775,986432.8,1451264.912,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190909,1635.35162,1637.5349999999999,1593.8673999999999,1603.6926099999998,14.81,-0.12,-0.8103,1299839.14,1918042.303,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190910,1593.8673999999999,1598.23416,1573.12529,1588.40895,14.69,-0.14,-0.953,796870.64,1155180.739,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190911,1593.8673999999999,1605.87599,1578.58374,1589.50064,14.55,0.01,0.0687,818614.21,1192674.258,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190912,1600.41754,1613.5178199999998,1586.2255699999998,1602.6009199999999,14.56,0.12,0.8242,1150687.64,1682911.849,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190916,1604.7842999999998,1606.96768,1572.0336,1577.4920499999998,14.68,-0.23,-1.5668,929894.14,1349401.481,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190917,1567.6668399999999,1577.4920499999998,1548.01642,1554.56656,14.45,-0.21,-1.4533,882655.75,1261416.554,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190918,1554.56656,1580.76712,1554.56656,1573.12529,14.24,0.17,1.1938,820436.33,1179079.988,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190919,1580.76712,1625.52641,1580.76712,1620.0679599999999,14.41,0.43,2.984,1884020.83,2777383.508,109.169,1,平安银行,深圳,银行,19910403
000001.SZ,20190920,1632.0765499999998,1681.2026,1629.8931699999998,1674.65246,14.84,0.5,3.3693,2644285.14,4020646.521,109.169,1,平安银行,深圳,银行,19910403
