stock_code,open,high,low,close,pre_close,change,pct_chg,volume,amount,adj_factor,symbol,stock_name,area,industry,list_date
601398.SH,14.239885,14.404644,14.051588999999998,14.263421999999998,6.06,0.0,0.0,4114786.68,2488088.46,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.239885,14.286959,13.792682000000001,13.957441,6.06,-0.13,-2.1452,4159456.31,2462785.2,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.933904,14.075126000000001,13.745607999999999,14.075126000000001,5.93,0.05,0.8432,2618931.27,1555917.031,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.051588999999998,14.192811,13.910366999999999,14.098663,5.98,0.01,0.1672,2495335.09,1490211.571,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.075126000000001,14.145736999999999,13.722071,13.769144999999998,5.99,-0.14,-2.3372,4614729.59,2712777.024,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.722071,13.910366999999999,13.486701,13.839756,5.85,0.03,0.5128,3731393.97,2178941.279,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.769144999999998,13.933904,13.722071,13.839756,5.88,0.0,0.0,2814158.49,1655728.285,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.839756,14.004515,13.722071,13.816219,5.88,-0.01,-0.1701,3195446.31,1883504.218,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.839756,13.863292999999999,13.604386,13.651459999999998,5.87,-0.07,-1.1925,2754700.37,1604677.49,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.698534,13.839756,13.651459999999998,13.698534,5.8,0.02,0.3448,2270152.19,1326499.665,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.722071,13.839756,13.674997,13.816219,5.82,0.05,0.8591,1871759.43,1095813.858,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.816219,13.957441,13.745607999999999,13.933904,5.87,0.05,0.8518,1850788.05,1091650.499,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,13.933904,14.169273999999998,13.910366999999999,14.098663,5.92,0.07,1.1824,2258478.36,1350053.507,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.098663,14.310495999999999,13.957441,14.1222,5.99,0.01,0.1669,2404186.94,1445004.523,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.075126000000001,14.216348,14.051588999999998,14.169273999999998,6.0,0.02,0.3333,1880448.15,1129757.322,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.169273999999998,14.263421999999998,14.1222,14.239885,6.02,0.03,0.4983,2067400.74,1247677.39,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.239885,14.475255,14.192811,14.451717999999998,6.05,0.09,1.4876,2701940.42,1647386.714,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.451717999999998,14.804772999999999,14.357569999999999,14.757698999999999,6.14,0.13,2.1173,3388635.14,2104346.757,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.734162,15.06368,14.710625,15.040142999999999,6.27,0.12,1.9139,3995974.2,2534261.643,2.3537,601398,工商银行,北京,银行,20061027
601398.SH,14.945994999999998,14.969532000000001,14.710625,14.828309999999998,6.39,-0.09,-1.4085,3315883.2,2088630.842,2.3537,601398,工商银行,北京,银行,20061027
