title,content,date,cleaned_content,sentiment,sentiment_label
OpenAI揭秘GPT-4.5训练：10万块GPU几乎全员上阵 出现“灾难性问题”,"GPT-4.5OpenAIOpenAI
OpenAI10OpenAIbug40%
OpenAI5-10GPT-4GPT-4GPT-4.510OpenAI
OpenAI10
1000GPU
OpenAIScaling Lawco-designGPT-4.5OpenAI
3OpenAIAlex PainoGPT-4.5Amin TootoonchianOpenAIDaniel Selsa… [+1485 chars]",2025-04-13,GPT 4.5 OpenAIOpenAIOpenAI10OpenAIbug40% OpenAI5 10GPT 4GPT 4GPT 4.510 OpenAIOpenAI101000GPUOpenAIScalingLawco designGPT 4.5 OpenAI3OpenAIAlexPainoGPT 4.5 AminTootoonchianOpenAIDanielSelsa 1485chars,0.22091695429926161,负面
OpenAI 揭秘 GPT-4.5 训练：10 万块 GPU，几乎全员上阵，出现“灾难性问题”,"4 13 OpenAI GPT-4.5 1 OpenAI CEO Sam Altman GPT-4.5 3 45 
GPT-4.5 OpenAI OpenAI 
OpenAI 10 OpenAI bug 40% 
 OpenAI 5-10 GPT-4 GPT-4 GPT-4.5 10 OpenAI 
OpenAI 10 
1000 GPU 
OpenAI Scaling Law co… [+1759 chars]",2025-04-13,413OpenAIGPT 4.51 OpenAICEOSamAltmanGPT 4.5345 GPT 4.5 OpenAIOpenAIOpenAI10OpenAIbug40% OpenAI5 10GPT 4GPT 4GPT 4.510 OpenAIOpenAI101000GPUOpenAIScalingLawco 1759chars,0.008458477705404088,负面
美国对电脑、手机等豁免征收「对等关税」；Ilya 新公司估值达到 2000 亿元；刘强东回应美团高管看衰京东外卖 | 极客早知道,"4 12 
CNBC iPhone wccftech 145% 
4 12 11 AI NextEvo AI 
 OpenAI Ilya AI 
4 12 OpenAI ·Ilya Sutskever Safe SuperintelligenceSSISSI 20 Greenoaks 320 
 900 
4 12 · 900 46 2019 
9 500 
4 12 iPhon… [+663 chars]",2025-04-13,412CNBCiPhonewccftech145% 41211AINextEvoAIOpenAIIlyaAI412OpenAI IlyaSutskeverSafeSuperintelligenceSSISSI20Greenoaks320900412 9004620199500412iPhon 663chars,3.446780889171386e-05,负面
OpenAI 前 CTO 爆炸开局：种子轮开盘 20 亿美元，0 产品 0 用户估值直奔 100 亿，GPT 论文一作也加入了,"OpenAI CTO Mira Murati 
20 146 
Thinking Machines Lab 100 
 AI 100 
20 
Mira Murati 
 GPT Alec Radford OpenAI Bob McGrew
OpenAI CTO 100 
 90 10 
 10 Mira Murati 1 7 
 AI
 20 
Thinking Mac… [+723 chars]",2025-04-11,OpenAICTOMiraMurati20146ThinkingMachinesLab100AI10020MiraMuratiGPTAlecRadfordOpenAIBobMcGrewOpenAICTO100901010MiraMurati17AI20ThinkingMac 723chars,0.0003875760069169676,负面
美股收跌纳指跌逾4% 市场继续关注特朗普关税,"1014.792.50%39593.66737.664.31%16387.31500188.853.46%5268.05
AMD8.4%7.3%6.9%Meta6.7%5.9%5.2%4.2%
90
90
-X
LPL FinancialJeffrey Roach90
Forvis MazarsGeorge Lagarias
Commodity InsightsJim Burkha… [+238 chars]",2025-04-11,1014.792 50% 39593.66737 664.31% 16387.31500188 853.46% 5268.05 AMD8.4% 7.3% 6.9% Meta6.7% 5.9% 5.2% 4.2% 9090 XLPLFinancialJeffreyRoach90ForvisMazarsGeorgeLagariasCommodityInsightsJimBurkha 238chars,0.0240134443174852,负面
跨境电商人的7天摇摆,"SHEIN30%SHEIN
SHEIN2023SHEIN LatePostSHEIN 
SHEIN
2110%80027
SHEINSHEIN
SHEIN
30%90%523190%7561150101500%46%
SHEIN
ZARAH&amp;MSHEINIPO
3-5SHEIN30010005000
2023SHEIN45040%
SHEIN90%107.5%20%… [+117 chars]",2025-04-10,SHEIN30% SHEINSHEIN2023SHEINLatePostSHEINSHEIN2110% 80027SHEINSHEINSHEIN30% 90% 523190% 7561150101500% 46% SHEINZARAH amp MSHEINIPO3 5SHEIN300100050002023SHEIN45040% SHEIN90% 107.5% 20% 117chars,0.186883963356826,负面
【IT之家评测室】OPPO Find X8 Ultra 首发体验：「夜景人像」教科书,"4 10 OPPO Find X8 Ultra Ultra 
OPPO Find X7 Ultra OPPO Find X7 Ultra 4K OPPO Find X7 Ultra 
 OPPO Find X7 Ultra 6X OPPO Find X8 Ultra 
OPPO Find X8 UltraOPPO Find X7 Ultra 
 OPPO Find X8 Ultra 
… [+2175 chars]",2025-04-10,410OPPOFindX8UltraUltraOPPOFindX7UltraOPPOFindX7Ultra4KOPPOFindX7UltraOPPOFindX7Ultra6XOPPOFindX8UltraOPPOFindX8UltraOPPOFindX7UltraOPPOFindX8Ultra 2175chars,0.3524585778253818,负面
世界是一个巨大的老鼠仓,"7590 10%
29007.87%2020325 500 9.52%2008102912.16%
1.8513.4
 Truth Social 
Unusual Whales$QQQ$TQQQ$SPY$SPY 5092100%
(IVR) 82(IV)
 X 
CNBC 90 ·
 2 
202532 XRPSOLADA 
 BTCETHBTC ETH
·
95
20… [+210 chars]",2025-04-10,759010% 29007.87% 20203255009.52% 2008102912.16% 1.8513 4TruthSocialUnusualWhales QQQ TQQQ SPY SPY5092100% IVR 82 IV XCNBC90 2202532XRPSOLADABTCETHBTCETH 9520 210chars,0.12437407010209367,负面
关于中美经贸关系若干问题的中方立场,"<table><tr><td></td></tr><tr><td></td></tr>
</table><table><tr><td></td></tr><tr><td></td></tr>
</table><table><tr><td></td></tr><tr><td></td></tr>
</table><table><tr><td></td></tr><tr><td></td></… [+1928 chars]",2025-04-09,table tr td td tr tr td td tr table table tr td td tr tr td td tr table table tr td td tr tr td td tr table table tr td td tr tr td td 1928chars,0.37165162461671686,负面
雷蛇暂停在美国直接销售笔记本电脑，疑受关税政策影响,"IT 4 9 TheVerge Blade 16 Blade 16 4 1 50% 104%
Framework 4 7 Laptop 13 
 Blade 16 404 99.99 Blade 16 
IT
IT",2025-04-09,IT49TheVergeBlade16Blade164150% 104% Framework47Laptop13Blade1640499.99 Blade16ITIT,2.6400105879176294e-08,负面
