ts_code,name
022992.OF,鹏华中证500I
520600.SH,港股汽车ETF
022984.OF,鹏华纯债B
022987.OF,鹏华沪深300联接I
022974.OF,鹏华弘实D
022148.OF,诺安价值增长C
022969.OF,鹏华上证科创板50成份增强策略联接I
022968.OF,银河丰利C
022986.OF,华宝双债增强D
022149.OF,诺安价值增长D
588750.SH,科创芯片50ETF
022972.OF,鹏华弘信D
530180.SH,上证180ETF易方达
022829.OF,南方定元中短债D
022305.OF,天弘月月宝30天持有A
022306.OF,天弘月月宝30天持有C
021502.OF,信澳科技驱动C
022331.OF,鑫元中证800红利低波动指数C
022204.OF,永赢中证A50指数增强A
022467.OF,国泰君安中证A500指数增强A
022214.OF,中信保诚乾元30天持有C
022886.OF,鹏华国证有色金属行业联接I
022380.OF,富国安泽C
022330.OF,鑫元中证800红利低波动指数A
022785.OF,国泰鑫策略价值灵活E
021927.OF,融通同业存单指数7天持有
022882.OF,鹏华中证云计算与大数据主题联接I
022522.OF,中欧农业产业C
022468.OF,国泰君安中证A500指数增强C
022641.OF,富达中债0-5年政策性金融债A
022521.OF,中欧农业产业A
022747.OF,申万菱信恒利三个月定开C
022884.OF,鹏华中证港股通科技联接I
508012.SH,招商科创REIT
022622.OF,民生加银双月鑫60天持有C
022891.OF,国联物联网主题C
022883.OF,鹏华中证工业互联网主题联接I
022213.OF,中信保诚乾元30天持有A
022642.OF,富达中债0-5年政策性金融债C
022875.OF,南方宁元C
022205.OF,永赢中证A50指数增强C
022379.OF,富国安泽A
021501.OF,信澳科技驱动A
022871.OF,中加裕盈纯债C
022784.OF,国泰鑫策略价值灵活C
022885.OF,鹏华中证车联网主题联接I
022881.OF,鹏华中证中药联接I
022621.OF,民生加银双月鑫60天持有A
022872.OF,南方耀元C
022119.OF,平安产业趋势A
022830.OF,华富安鑫C
022868.OF,英大国企改革主题C
022764.OF,富国中债优选投资级信用债指数A
022765.OF,富国中债优选投资级信用债指数C
022120.OF,平安产业趋势C
588230.SH,科创200ETF
022874.OF,南方赢元C
022760.OF,华富安享C
520500.SH,恒生创新药ETF
022950.OF,华泰柏瑞科创板50ETF联接Y
022930.OF,易方达中证A500联接Y
022921.OF,南方中证500ETF联接Y
022900.OF,创金合信红利低波动Y
022979.OF,华夏中证A500联接Y
022918.OF,南方中证A500联接Y
022981.OF,天弘中证科创创业50联接Y
022909.OF,国投瑞银中证500量化增强Y
022958.OF,华夏中证500ETF联接Y
022897.OF,嘉实沪深300红利低波动ETF联接Y
022922.OF,博时裕富沪深300Y
022910.OF,易方达中证科创创业50ETF联接Y
022923.OF,易方达深证100ETF联接Y
022965.OF,广发中证500ETF联接Y
022798.OF,博时富发纯债D
022906.OF,富国沪深300增强Y
022895.OF,易方达科创板50ETF联接Y
022933.OF,易方达上证50增强Y
022929.OF,华安创业板50Y
022862.OF,鹏华中证光伏产业联接I
022911.OF,摩根中证A500联接Y
022980.OF,天弘中证红利低波动100联接Y
022983.OF,华夏沪深300ETF联接Y
022964.OF,广发沪深300ETF联接Y
022966.OF,天弘中证A500联接Y
022957.OF,华夏中证500指数增强Y
022870.OF,博时裕恒纯债C
022908.OF,国投瑞银沪深300量化增强Y
022946.OF,建信中证500指数增强Y
022959.OF,华夏上证50ETF联接Y
022927.OF,大成中证红利Y
022931.OF,华安中证A500联接Y
022831.OF,华商电子行业量化C
022956.OF,天弘上证50联接Y
022952.OF,富国创业板联接Y
022916.OF,博时中证A500联接Y
022961.OF,天弘中证500ETF联接Y
022912.OF,南方创业板ETF联接Y
022949.OF,汇添富沪深300指数增强Y
022904.OF,大成中证A500联接Y
022928.OF,易方达沪深300ETF联接Y
022938.OF,招商中证A500联接Y
022955.OF,天弘沪深300ETF联接Y
022907.OF,易方达创业板ETF联接Y
022890.OF,嘉实沪深300ETF联接(LOF)Y
022903.OF,富国中证红利指数增强Y
022971.OF,广发中证A500联接Y
022940.OF,天弘沪深300指数增强Y
022975.OF,工银中证A50联接Y
022861.OF,鹏华国证石油天然气联接I
022899.OF,中欧沪深300指数Y
022982.OF,工银中证A500联接Y
022894.OF,景顺长城中证A500联接Y
022926.OF,华宝中证A100联接Y
022934.OF,交银创业板50指数Y
022951.OF,华泰柏瑞红利低波动ETF联接Y
022919.OF,申万菱信中证500优选增强Y
022917.OF,万家沪深300指数增强Y
022898.OF,中欧中证A500指数Y
022953.OF,富国中证500指数增强Y
022892.OF,易方达中证A50联接Y
022924.OF,南方沪深300ETF联接Y
022947.OF,华泰柏瑞中证A500联接Y
022941.OF,鹏扬中证科创创业50联接Y
022915.OF,嘉实中证500ETF联接Y
022973.OF,大成沪深300Y
022943.OF,华夏中证500指数智选Y
022954.OF,华夏沪深300指数增强Y
022932.OF,工银科创板50ETF联接Y
022913.OF,易方达中证500ETF联接Y
022942.OF,泰康中证A500联接Y
022902.OF,富国中证A500联接Y
022905.OF,嘉实中证A500联接Y
022944.OF,银华中证A500联接Y
022896.OF,广发创业板ETF联接Y
022863.OF,鹏华国证半导体芯片ETF联接I
022920.OF,博时创业板ETF联接Y
022976.OF,华安创业板50ETF联接Y
022925.OF,易方达中证红利ETF联接Y
022935.OF,工银沪深300Y
022914.OF,易方达沪深300精选增强Y
022948.OF,华泰柏瑞沪深300ETF联接Y
022937.OF,西部利得中证500指数增强Y
022967.OF,万家中证A500联接Y
022939.OF,华夏中证科创创业50ETF联接Y
022945.OF,华夏科创板50ETF联接Y
022893.OF,汇添富中证500指数增强Y
022960.OF,天弘创业板ETF联接Y
021722.OF,广发上证50联接A
159320.SZ,电网ETF
022845.OF,鹏华上证科创板100联接I
021723.OF,广发上证50联接C
022775.OF,财通汇利纯债C
022848.OF,鹏华国证粮食产业联接I
022963.OF,兴全中证800六个月持有指数增强Y
022851.OF,诺安汇利E
022962.OF,兴全沪深300指数增强Y
508048.SH,华安外高桥REIT
022844.OF,鹏华中证港股通医药卫生综合联接I
022936.OF,国泰沪深300Y
022806.OF,博时富益纯债C
561380.SH,电网ETF
022479.OF,汇丰晋信绿色A
022824.OF,鹏华沪深300指数增强I
022819.OF,鹏华中证500指数增强I
022827.OF,南方1-3年国开债D
022799.OF,博时富华纯债D
022834.OF,鹏华中证沪港深科技龙头I
022825.OF,鹏华中证一带一路I
022828.OF,南方赢元D
022755.OF,易方达科鑫量化选股C
022826.OF,华宝上证180价值ETF联接C
022738.OF,国泰君安安睿纯债C
022823.OF,鹏华中证高铁产业I
588780.SH,科创芯片设计ETF
016721.OF,前海开源高端装备制造C
022401.OF,财通安泰利率债
022480.OF,汇丰晋信绿色C
022822.OF,鹏华中证1000指数增强I
022754.OF,易方达科鑫量化选股A
022643.OF,中欧国证消费电子主题指数A
022376.OF,光大安选平衡养老目标三年持有
022469.OF,汇添富中证A500联接A
022470.OF,汇添富中证A500联接C
017234.OF,永赢睿恒A
022404.OF,信澳稳悦60天滚动持有C
021821.OF,兴业聚享6个月持有A
021329.OF,富国上证科创板100指数A
022368.OF,永赢睿恒C
022403.OF,信澳稳悦60天滚动持有A
022165.OF,西部利得央企优选C
022563.OF,农银同业存单指数7天持有
508036.SH,平安宁波交投REIT
022766.OF,博时裕荣纯债D
021797.OF,财通稳裕回报A
021798.OF,财通稳裕回报C
022809.OF,博时裕乾E
021330.OF,富国上证科创板100指数C
022644.OF,中欧国证消费电子主题指数C
022758.OF,国泰君安君得盛D
021871.OF,兴业聚享6个月持有C
022164.OF,西部利得央企优选A
022639.OF,太平恒庆利率债A
022640.OF,太平恒庆利率债C
022774.OF,鹏华沪深300联接D
022735.OF,申万菱信新经济C
022792.OF,鹏华中证细分化工产业主题联接I
022797.OF,鹏华中证内地低碳经济主题ETF联接I
022783.OF,南方0-2年国开债D
022794.OF,鹏华国证疫苗与生物科技联接I
022795.OF,鹏华国证ESG300联接I
022759.OF,摩根中证A500联接I
022780.OF,南方1-5年国开债D
022740.OF,申万菱信乐享C
022080.OF,贝莱德同业存单指数7天持有
022744.OF,广发可转债D
022739.OF,申万菱信新能源汽车C
022796.OF,鹏华国证2000指数增强I
022793.OF,鹏华中证港股通消费主题联接I
022414.OF,前海开源国企精选A
022340.OF,融通创业板联接A
022415.OF,前海开源国企精选C
180106.SZ,广发成都高投产业园REIT
022341.OF,融通创业板联接C
159363.SZ,创业板人工智能ETF华宝
022617.OF,摩根共同分类目录绿色A
022767.OF,博时裕弘纯债D
022741.OF,万家上证180C
022737.OF,南方贺元利率债D
022618.OF,摩根共同分类目录绿色C
022736.OF,南方景元中高等级信用债D
021519.OF,长盛中债0-3年政金债A
022392.OF,景顺长城中债0-3年国开行C
022722.OF,博时信用优选E
022692.OF,工银添益快线B
021520.OF,长盛中债0-3年政金债C
022391.OF,景顺长城中债0-3年国开行A
022753.OF,汇安稳裕C
019990.OF,华安中证云计算与大数据主题指数C
019989.OF,华安中证云计算与大数据主题指数A
022743.OF,鹏华增瑞(LOF)C
022723.OF,工银现金快线B
021975.OF,创金合信红利甄选量化选股A
021786.OF,天弘永利兴宁A
021915.OF,博道大盘价值A
022144.OF,银华中证高股息策略联接A
021787.OF,天弘永利兴宁C
022349.OF,融通稳鑫90天持有C
022211.OF,人保红利智享A
022145.OF,银华中证高股息策略联接C
508010.SH,中金重庆两江REIT
022724.OF,南方7-10年国开债D
022348.OF,融通稳鑫90天持有A
021976.OF,创金合信红利甄选量化选股C
022212.OF,人保红利智享C
021916.OF,博道大盘价值C
022727.OF,南方中债3-5年农发行D
021849.OF,财通资管同业存单指数7天持有
022733.OF,申万菱信盛利精选C
022356.OF,长盛元赢四个月定开
022318.OF,兴证全球恒嘉30天持有A
022742.OF,华泰柏瑞中证A500联接I
022734.OF,申万菱信新动力C
022711.OF,南方1-3年国开债I
022319.OF,兴证全球恒嘉30天持有C
021878.OF,中欧沪深300指数C
021757.OF,中欧沪深300指数量化增强A
022488.OF,浦银安盛红利量化A
022489.OF,浦银安盛红利量化C
021758.OF,中欧沪深300指数量化增强C
022400.OF,东海增益C
021877.OF,中欧沪深300指数A
022399.OF,东海增益A
022730.OF,创金合信转债精选E
180402.SZ,工银蒙能清洁能源REIT
022721.OF,创金合信尊盛C
021923.OF,博时中证国新央企现代能源联接C
021922.OF,博时中证国新央企现代能源联接A
019137.OF,交银启合C
022714.OF,万家新兴蓝筹C
021364.OF,渤海汇金新动能C
019136.OF,交银启合A
022708.OF,泓德泓益C
022709.OF,万家臻选C
020270.OF,宏利价值驱动六个月持有C
020269.OF,宏利价值驱动六个月持有A
022710.OF,工银智能制造C
022443.OF,工银中证A500联接C
021894.OF,易方达中证半导体材料设备主题联接C
022310.OF,国联沪深300指数增强C
022309.OF,国联沪深300指数增强A
021893.OF,易方达中证半导体材料设备主题联接A
022004.OF,博道大盘成长C
022098.OF,长城中证红利低波100指数C
022316.OF,施罗德添益A
022003.OF,博道大盘成长A
022442.OF,工银中证A500联接A
022010.OF,华富祥晖6个月持有A
022681.OF,华泰柏瑞中韩半导体联接I
022680.OF,华泰柏瑞南方东英恒生科技联接I
022367.OF,贝莱德沪深300指数增强C
